co2TailpipeGpm,cylinders,displ,drive,fuelType,make,phevBlended,transmission,VClass
493.722222222,6,4.3,Rear-Wheel Drive,Regular,GMC,False,Man,Small Pickup Trucks
444.35,4,2.3,Rear-Wheel Drive,Regular,Isuzu,False,Man,Small Pickup Trucks
467.736842105,4,2.6,Rear-Wheel Drive,Regular,Isuzu,False,Aut,Small Pickup Trucks
493.722222222,4,2.6,Rear-Wheel Drive,Regular,Isuzu,False,Man,Small Pickup Trucks
467.736842105,4,2.4,Rear-Wheel Drive,Regular,Mitsubishi,False,Aut,Small Pickup Trucks
467.736842105,4,2.4,Rear-Wheel Drive,Regular,Mitsubishi,False,Man,Small Pickup Trucks
522.764705882,6,4.3,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Standard Pickup Trucks
522.764705882,6,4.3,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
555.4375,6,4.3,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
555.4375,6,4.3,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
403.954545455,4,2.5,Rear-Wheel Drive,Regular,GMC,False,Man,Vans
592.466666667,8,5,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Standard Pickup Trucks
592.466666667,8,5,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
634.785714286,8,5.7,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Standard Pickup Trucks
634.785714286,8,5.7,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
634.785714286,8,5.7,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
888.7,8,7.4,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Standard Pickup Trucks
522.764705882,6,4.3,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Standard Pickup Trucks
555.4375,6,4.3,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
555.4375,6,4.3,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
634.785714286,8,5,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Standard Pickup Trucks
522.764705882,6,4.3,Rear-Wheel Drive,Regular,GMC,False,Aut,Vans
592.466666667,8,5,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
634.785714286,8,5.7,Rear-Wheel Drive,Regular,Chevrolet,False,Aut,Standard Pickup Trucks
634.785714286,8,5.7,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
683.615384615,8,5.7,Rear-Wheel Drive,Regular,Chevrolet,False,Man,Standard Pickup Trucks
403.954545455,4,2.5,Rear-Wheel Drive,Regular,Dodge,False,Man,Standard Pickup Trucks
555.4375,6,3.9,Rear-Wheel Drive,Regular,Dodge,False,Aut,Standard Pickup Trucks
555.4375,6,3.9,Rear-Wheel Drive,Regular,Dodge,False,Man,Standard Pickup Trucks
634.785714286,8,5.2,Rear-Wheel Drive,Regular,Dodge,False,Aut,Standard Pickup Trucks
